anchor,expected_MDR_REPORT_KEY,actual_MDR_REPORT_KEY,correctness
What are patient gender for report 15161131?,15161131,17189893,False
What are adverse events for report 18951734?,18951734,17189893,False
What are patient gender for report 18508366?,18508366,17189893,False
Which year does we receive report 19699509 ?,19699509,17189893,False
Which year does we receive report 16233159 ?,16233159,17806243,False
Which year does we receive report 17867491 ?,17867491,17189893,False
Which year does we receive report 16569776 ?,16569776,17189893,False
What are patient gender for report 16444008?,16444008,17393725,False
What are adverse events for report 15536502?,15536502,17189893,False
Which year does we receive report 20855499 ?,20855499,17189893,False
What are adverse events for report 15913398?,15913398,17189893,False
What are patient gender for report 14165930?,14165930,20798261,False
Which year does we receive report 16794775 ?,16794775,17189893,False
What are patient gender for report 15161122?,15161122,17189893,False
What are patient gender for report 16405926?,16405926,17806243,False
What are adverse events for report 15348357?,15348357,16196876,False
Which year does we receive report 18166768 ?,18166768,17189893,False
What are patient gender for report 15940858?,15940858,17189893,False
What are adverse events for report 17977512?,17977512,17189893,False
Which year does we receive report 14046103 ?,14046103,17189893,False
What are patient gender for report 13900062?,13900062,16196876,False
What are adverse events for report 20211227?,20211227,17233475,False
What are patient gender for report 15183671?,15183671,16196876,False
What are adverse events for report 15590945?,15590945,17189893,False
What are patient gender for report 15173611?,15173611,17189893,False
Which year does we receive report 19033448 ?,19033448,17189893,False
What are adverse events for report 15070973?,15070973,16709899,False
Which year does we receive report 16714740 ?,16714740,17189893,False
Which year does we receive report 18885308 ?,18885308,17189893,False
What are patient gender for report 20672130?,20672130,20798261,False
What are adverse events for report 20144999?,20144999,17189893,False
What are patient gender for report 16597066?,16597066,17806243,False
What are adverse events for report 15099523?,15099523,13999379,False
Which year does we receive report 13958496 ?,13958496,17189893,False
What are adverse events for report 16874818?,16874818,15688972,False
Which year does we receive report 17733022 ?,17733022,17189893,False
What are adverse events for report 13994601?,13994601,17189893,False
What are patient gender for report 19771369?,19771369,17189893,False
What are patient gender for report 20449489?,20449489,13999379,False
Which year does we receive report 15509612 ?,15509612,17189893,False
What are patient gender for report 16204679?,16204679,17189893,False
What are patient gender for report 20192933?,20192933,17233475,False
What are patient gender for report 17820315?,17820315,17189893,False
What are patient gender for report 15549137?,15549137,17189893,False
Which year does we receive report 13868621 ?,13868621,17189893,False
Which year does we receive report 17440869 ?,17440869,17189893,False
Which year does we receive report 16467547 ?,16467547,17189893,False
What are adverse events for report 17686128?,17686128,17189893,False
